Player,BBE,GB%,AIR%,FB%,LD%,PU%,Pull%,Straight%,Oppo%,PullGB%,StraightGB%,OppoGB%,PullAIR%,StraightAIR%,OppoAIR%,Team,AB_LHP,H_LHP,2B_LHP,3B_LHP,HR_LHP,BB_LHP,SO_LHP,AVG_LHP,OBP_LHP,SLG_LHP,PA_LHP,HBP_LHP,SAC_LHP,SF_LHP,AB_RHP,H_RHP,2B_RHP,3B_RHP,HR_RHP,BB_RHP,SO_RHP,AVG_RHP,OBP_RHP,SLG_RHP,PA_RHP,HBP_RHP,SAC_RHP,SF_RHP
Isaac Paredes,304,0.306,0.694,0.322,0.257,0.115,0.569,0.27,0.161,0.184,0.082,0.039,0.385,0.188,0.122,HOU,60,12,1,0,3,9,9,0.2,0.324,0.367,71,2,0,0,318,84,14,1,17,41,67,0.264,0.357,0.475,367,6,0,2
Cal Raleigh,411,0.258,0.742,0.418,0.195,0.129,0.545,0.258,0.197,0.161,0.066,0.032,0.384,0.192,0.165,SEA,185,52,8,0,22,18,61,0.281,0.351,0.681,205,2,0,0,411,95,16,0,38,79,127,0.231,0.362,0.547,500,7,0,3
Michael Helman,81,0.42,0.58,0.296,0.136,0.148,0.568,0.259,0.173,0.185,0.148,0.086,0.383,0.111,0.086,TEX,46,8,2,0,3,2,11,0.174,0.224,0.413,50,1,1,0,53,15,3,1,2,5,10,0.283,0.345,0.491,60,0,2,0
MJ Melendez,37,0.324,0.676,0.405,0.135,0.135,0.622,0.27,0.108,0.243,0.081,0.0,0.378,0.189,0.108,KC,8,1,0,0,1,1,3,0.125,0.364,0.5,11,2,0,0,52,4,2,0,0,2,20,0.077,0.111,0.115,54,0,0,0
Rhys Hoskins,194,0.299,0.701,0.335,0.258,0.108,0.521,0.325,0.155,0.175,0.098,0.026,0.345,0.227,0.129,MIL,86,19,4,0,4,14,27,0.221,0.324,0.407,102,0,0,2,193,47,8,1,8,24,64,0.244,0.336,0.42,226,5,0,4
Jordan Lawlar,41,0.39,0.61,0.244,0.293,0.073,0.634,0.171,0.195,0.293,0.049,0.049,0.341,0.122,0.146,AZ,32,6,4,0,0,4,10,0.188,0.27,0.313,37,0,0,1,34,6,3,0,0,2,16,0.176,0.243,0.265,37,1,0,0
Davis Schneider,129,0.302,0.698,0.388,0.163,0.147,0.566,0.295,0.14,0.233,0.07,0.0,0.333,0.225,0.14,TOR,107,23,4,0,4,19,37,0.215,0.344,0.364,128,2,0,0,81,21,1,0,7,17,23,0.259,0.384,0.531,99,0,0,1
Danny Jansen,205,0.283,0.717,0.322,0.22,0.176,0.488,0.341,0.171,0.161,0.068,0.054,0.327,0.273,0.117,MIL,96,19,5,0,5,21,38,0.198,0.336,0.406,90,0,0,1,192,43,6,0,9,21,48,0.224,0.313,0.396,169,3,1,0
Joey Wiemer,34,0.471,0.529,0.294,0.235,0.0,0.588,0.265,0.147,0.265,0.206,0.0,0.324,0.059,0.147,MIA,28,6,2,0,2,2,12,0.214,0.294,0.5,34,2,0,2,27,7,0,0,1,0,11,0.259,0.259,0.37,27,0,0,0
Spencer Torkelson,399,0.276,0.724,0.366,0.241,0.118,0.484,0.311,0.206,0.165,0.088,0.023,0.318,0.223,0.183,DET,159,42,10,0,10,28,42,0.264,0.368,0.516,190,0,0,3,404,93,17,1,21,44,127,0.23,0.318,0.433,459,9,0,2
